label,sector,is_target,is_hub
V1,occipital,1,0
V2,occipital,1,0
ProS,occipital,1,0
V3,occipital,1,0
V4,occipital,1,0
V6,occipital,1,0
V6A,occipital,1,0
V7,occipital,1,0
IPS1,occipital,1,0
V3A,occipital,1,0
V3B,occipital,1,0
V3CD,occipital,1,0
IP0,occipital,1,0
PGp,occipital,1,0
LO1,occipital,1,0
LO2,occipital,1,0
1,parietal,1,0
2,parietal,1,0
3a,parietal,1,0
3b,parietal,1,0
4,parietal,1,0
6mp,parietal,1,0
6d,parietal,1,0
8BL,frontal,1,0
9p,frontal,1,0
9m,frontal,1,0
9a,frontal,1,1
8Ad,frontal,1,0
9-46d,frontal,1,0
8BM,frontal,1,0
8Av,frontal,1,1
46,frontal,1,0
8C,frontal,1,1
p9-46v,frontal,1,0
a32pr,frontal,1,0
d32,frontal,1,0
a9-46v,frontal,1,0
10d,frontal,1,0
p10p,frontal,1,0
p47r,frontal,1,0
IFSa,frontal,1,0
